key=7, value=y
key=18, value=y
key=19, value=y
key=23, value=y
key=24, value=y
key=25, value=y
key=27, value=y
key=29, value=y
key=31, value=y
key=32, value=y
key=33, value=y
key=37, value=y
key=38, value=y
key=40, value=x
key=41, value=x
key=42, value=x
key=43, value=x
key=44, value=x
key=45, value=x
key=46, value=x
key=47, value=x
key=48, value=x
key=49, value=x
key=50, value=x
key=51, value=x
key=52, value=x
key=53, value=x
key=54, value=x
key=55, value=y
key=56, value=y
key=57, value=x
key=58, value=y
key=59, value=x
key=60, value=y
key=61, value=x
key=62, value=y
key=63, value=y
key=64, value=x
key=65, value=x
key=66, value=x
key=67, value=x
key=68, value=x
key=69, value=x
key=70, value=x
key=71, value=x
key=72, value=x
key=73, value=x
key=74, value=x
key=75, value=x
key=76, value=x
key=77, value=x
key=78, value=x
key=79, value=x
key=80, value=x
key=81, value=x
key=82, value=x
key=83, value=x
key=84, value=x
key=85, value=x
key=86, value=x
key=87, value=x
key=88, value=x
key=89, value=x
key=90, value=x
key=91, value=x
key=92, value=x
key=93, value=x
key=94, value=x
key=95, value=x
key=96, value=x
key=97, value=x
key=98, value=x
key=99, value=x
